name,year,city,Country,cuisine
Costes,2020,Budapest,Hungary,Modern cuisine
The Kitchen,2020,Macau,Macau,Steakhouse
Tim's Kitchen,2020,Macau,Macau,Cantonese
King,2020,Macau,Macau,Cantonese
Ying,2020,Macau,Macau,Cantonese
Shinji by Kanesaka,2020,Macau,Macau,Sushi
The Golden Peacock,2020,Macau,Macau,Indian
Zi Yat Heen,2020,Macau,Macau,Cantonese
8 1/2 Otto e Mezzo - Bombana,2020,Macau,Macau,Italian
Pearl Dragon,2020,Macau,Macau,Cantonese
Lai Heen,2020,Macau,Macau,Cantonese
FAGN,2020,Trondheim,Norway,Modern cuisine
Credo,2020,Trondheim,Norway,Creative
RE-NAA,2020,Stavanger,Norway,Creative
Sabi Omakase,2020,Stavanger,Norway,Sushi
Galt,2020,Oslo,Norway,Modern cuisine
Kontrast,2020,Oslo,Norway,Scandinavian
Statholdergaarden,2020,Oslo,Norway,Classic cuisine
Senses,2020,Warszawa,Poland,Modern cuisine
atelier Amaro,2020,Warszawa,Poland,Modern cuisine
Aniar,2020,Gaillimh/Galway,Ireland,Creative
Loam,2020,Gaillimh/Galway,Ireland,Creative
Wild Honey Inn,2020,Lios Dúin Bhearna/Lisdoonvarna,Ireland,Classic cuisine
Chestnut,2020,Ballydehob,Ireland,Modern cuisine
Mews,2020,Baltimore,Ireland,Modern cuisine
Ichigo Ichie,2020,Corcaigh/Cork,Ireland,Japanese
Chapter One,2020,City Centre,Ireland,Modern cuisine
L'Ecrivain,2020,City Centre,Ireland,Modern cuisine
Campagne,2020,Cill Chainnigh/Kilkenny,Ireland,Modern British
Lady Helen,2020,Baile Mhic Andáin/Thomastown,Ireland,Modern cuisine
House,2020,Aird Mhór/Ardmore,Ireland,Modern cuisine
Bastion,,Cionn tSaile/Kinsale,Ireland,Modern cuisine
The Oak Room,,Adare/Ath Dara,Ireland,Modern cuisine
Liath,,Blackrock,Ireland,Modern cuisine
Variety Jones,,Dublin,Ireland,Modern cuisine
Olympe,2020,Rio de Janeiro - 22470,Brazil,French
Lasai,2020,Rio de Janeiro - 22271,Brazil,modern
Oteque,2020,Rio de Janeiro - 22271,Brazil,modern
Mee,2020,Rio de Janeiro - 22021,Brazil,Asian influences
Cipriani,2020,Rio de Janeiro - 22021,Brazil,Italian
Jun Sakamoto,2020,São Paulo - 05413,Brazil,Japanese
Maní,2020,São Paulo - 05415,Brazil,creative
Evvai,2020,São Paulo - 05415,Brazil,modern
Picchi,2020,São Paulo - 01426,Brazil,Italian
Kosushi,2020,São Paulo - 04538,Brazil,Japanese
Ryo Gastronomia,2020,São Paulo - 04531,Brazil,Japanese
Tangará Jean-Georges,2020,São Paulo - 05706,Brazil,modern
Kinoshita,2020,São Paulo - 04509,Brazil,Japanese
Kan Suke,2020,São Paulo - 01401,Brazil,Japanese
Huto,2020,São Paulo - 04080,Brazil,Japanese
Bhoga,2020,Göteborg,Sweden,Creative
Koka,2020,Göteborg,Sweden,Modern cuisine
28,2020,Göteborg,Sweden,Modern cuisine
SK Mat & Människor,2020,Göteborg,Sweden,Modern cuisine
Thörnströms Kök,2020,Göteborg,Sweden,Classic cuisine
Upper House,2020,Göteborg,Sweden,Creative
Agrikultur,2020,Stockholm,Sweden,Modern cuisine
Sushi Sho,2020,Stockholm,Sweden,Japanese
Volt,2020,Stockholm,Sweden,Creative
Ekstedt,2020,Stockholm,Sweden,Meats and grills
Operakällaren,2020,Stockholm,Sweden,Classic cuisine
Mathias Dahlgren-Matbaren,2020,Stockholm,Sweden,Modern cuisine
Aloë,2020,Stockholm,Sweden,Creative
PM & Vänner,2020,Växjö,Sweden,Creative
Bloom in the Park,2020,Malmö,Sweden,Creative
SAV,2020,Malmö,Sweden,Creative
Golden Formosa,2020,Taipei,Taipei,Taiwanese
Danny's Steakhouse,2020,Taipei,Taipei,Steakhouse
L'Atelier de Joël Robuchon,2020,Taipei,Taipei,French contemporary
Kitcho,2020,Taipei,Taipei,Sushi
Tien Hsiang Lo,2020,Taipei,Taipei,Hang Zhou
Ya Ge,2020,Taipei,Taipei,Cantonese
Da-Wan,2020,Taipei,Taipei,Barbecue
Sushi Nomura,2020,Taipei,Taipei,Sushi
logy,2020,Taipei,Taipei,Asian contemporary
Ming Fu,2020,Taipei,Taipei,Taiwanese
Ken An Ho,2020,Taipei,Taipei,Japanese
Sushi Ryu,2020,Taipei,Taipei,Sushi
MUME,2020,Taipei,Taipei,European contemporary
Impromptu by Paul Lee,2020,Taipei,Taipei,Innovative
Longtail,2020,Taipei,Taipei,Innovative
Mountain and Sea House,2020,Taipei,Taipei,Taiwanese
Da San Yuan,2020,Taipei,Taipei,Cantonese
Tainan Tan Tsu Mien Seafood,2020,Taipei,Taipei,Seafood
Suan Thip,2020,Bangkok,Thailand,Thai
Upstairs at Mikkeller,2020,Bangkok,Thailand,Innovative
Chim by Siam Wisdom,2020,Bangkok,Thailand,Thai
Khao,,Bangkok,Thailand,Thai
Canvas,2020,Bangkok,Thailand,Innovative
Bo.lan,2020,Bangkok,Thailand,Thai
Sra Bua by Kiin Kiin,2020,Bangkok,Thailand,Thai Contemporary
Elements,2020,Bangkok,Thailand,French contemporary
Paste,2020,Bangkok,Thailand,Thai
Ginza Sushi ichi,2020,Bangkok,Thailand,Sushi
80 20,,Bangkok,Thailand,Innovative
Savelberg,2020,Bangkok,Thailand,French contemporary
Saneh Jaan,2020,Bangkok,Thailand,Thai
Gaa,2020,Bangkok,Thailand,Innovative
Methavalai Sorndaeng,2020,Bangkok,Thailand,Thai
Jay Fai,2020,Bangkok,Thailand,Street Food
Nahm,2020,Bangkok,Thailand,Thai
J'AIME by Jean-Michel Lorain,2020,Bangkok,Thailand,French contemporary
Saawaan,2020,Bangkok,Thailand,Thai Contemporary
Le Du,2020,Bangkok,Thailand,Thai
Ruean Panya,2020,Bangkok,Thailand,Thai
PRU,2020,Phuket,Thailand,Innovative
Chef’s Table,,Bangkok,Thailand,French contemporary
Table 38,,Bangkok,Thailand,Thai
